sector,price(2019-10-01),price(2020-05-08)
Basic Materials,52.351898193359375,47.789039611816406
Consumer Discretionary,115.45703887939453,111.85810852050781
Consumer Staples,55.149871826171875,51.89447784423828
Energy,46.521995544433594,31.723941802978516
Financial,25.2319393157959,20.359573364257812
Health Care,83.21653747558594,93.65108489990234
Industrial,70.80731201171875,58.28180694580078
Technology,76.68628692626953,90.55107879638672
Telecommunication,82.66336059570312,85.1789321899414
Utilities,56.91287612915039,49.375038146972656
Real Estate,34.1086311340332,29.171201705932617
